,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description,director
3030,80106989,Movie,Summer of '92,"Ulrich Thomsen, Henning Jensen, Mikkel Boe Følsgaard, Cyron Melville, Esben Smed Jensen, Gustav Dyekjaer Giese, Jon Lange, Allan Hyde, Johannes Lassen, Morten Vang Simonsen","Denmark, United Kingdom",2016-07-10,2015,NR,94 min,"Dramas, International Movies, Sports Movies","When a quirk of fate kicks the Danish national soccer team into the European Championship final, the coach must whip his unprepared squad into shape.",Kasper Barfoed
4397,81020973,Movie,The Last Hangover,"Fábio Porchat, Gregório Duvivier, Antonio Tabet, Pedro Benevides, Paulo Vieira, Rafael Portugal, Fábio de Luca, Karina Ramil, Evelyn Castro, Pedro Monteiro, Camilo Borges, Gabriel Totoro, Victor Leal, Rafael Logan",Brazil,2018-12-21,2018,TV-MA,44 min,"Comedies, International Movies","In this biblical ""Hangover"" spoof, the apostles awaken to find Jesus is missing and must piece together events of the previous night's wild Last Supper.",Rodrigo Van Der Put
1750,70007056,Movie,Kucch To Hai,"Tusshar Kapoor, Esha Deol, Natasha, Jeetendra, Rishi Kapoor",India,2019-05-15,2003,TV-14,136 min,"Dramas, International Movies, Thrillers","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",Anil V. Kumar
2894,81036524,Movie,The Midas Touch,"Chapman To, Charlene Choi, Gao Yunxiang, Shatina Chen, Alice Li, Jiayu Xie, Jiemeng Zhuang, Venus Wong, Ching-Wan Hui, Jennifer Zhang",Hong Kong,2019-07-21,2013,TV-14,98 min,"Comedies, International Movies","A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds he's in over his head.",Chi Keung Fung
613,70213237,TV Show,Monty Python's Almost the Truth,"Graham Chapman, Eric Idle, John Cleese, Michael Palin, Terry Gilliam, Terry Jones",United Kingdom,2018-10-02,2009,NR,1 Season,"British TV Shows, Docuseries","The legacy of comedy group Monty Python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary.",
3367,81093113,Movie,NiNoKuni,"Kento Yamazaki, Mackenyu, Mei Nagano, Mamoru Miyano, Maaya Sakamoto, Yuki Kaji, Kenjiro Tsuda, Koichi Yamadera, Masatoh Ibu, Tsuyoshi Muro",Japan,2020-01-16,2019,TV-14,107 min,"Action & Adventure, Anime Features, Children & Family Movies",Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,Yoshiyuki Momose
4912,80099083,Movie,Fitoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhatt, Lara Dutta, Akshay Oberoi, Aditi Rao Hydari, Ajay Devgn",India,2018-08-02,2016,TV-14,124 min,"Dramas, International Movies, Romantic Movies",A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.,Abhishek Kapoor
2505,80097225,TV Show,Kiss Me First,"Tallulah Haddon, Simona Brown, Matthew Beard, Matthew Aubrey","United Kingdom, United States",2018-06-29,2018,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.,
5001,81014293,TV Show,Nuestra Lucha Libre,,,2018-08-15,2018,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows","This documentary series lifts the mask on Mexican wrestling, diving into the daily lives of its stars, examining the sport’s cultural impact and more.",
3560,60035996,Movie,Sliver,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis",United States,2020-01-01,1993,R,107 min,Thrillers,"A divorcée moves into a high-rise with a sordid past and begins a steamy affair with her neighbor, unaware that her every move is being monitored.",Phillip Noyce
